Customer ID,Gender,Age,Married,Number of Dependents,City,Number of Referrals,Tenure in Months,Offer,Phone Service,Multiple Lines,Internet Service,Internet Type,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Revenue,Customer Status,Churn Category,Churn Reason,Calculated Charges,Charges Difference,Churn
0002-ORFBO,Female,37,Yes,0,Frazier Park,2,9,Unknown,Yes,No,Yes,Cable,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,974.81,Stayed,Not churned,Not churned,590.4,2.8999999999999773,0.0
0004-TLHLJ,Male,50,No,0,Costa Mesa,0,4,Offer E,Yes,No,Yes,Fiber Optic,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,415.45,Churned,Competitor,Competitor had better devices,295.6,14.75,1.0
0011-IGKFF,Male,78,Yes,0,Martinez,1,13,Offer D,Yes,No,Yes,Fiber Optic,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,1599.51,Churned,Dissatisfaction,Product dissatisfaction,1274.0,36.15000000000009,1.0
0013-EXCHZ,Female,75,Yes,0,Camarillo,3,3,Unknown,Yes,No,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,289.54,Churned,Dissatisfaction,Network reliability,251.7,15.69999999999996,1.0
0013-MHZWF,Female,23,No,3,Midpines,0,9,Offer E,Yes,No,Yes,Cable,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,722.38,Stayed,Not churned,Not churned,624.6,53.14999999999998,0.0
0013-SMEOE,Female,67,Yes,0,Lompoc,1,71,Offer A,Yes,No,Yes,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,8611.41,Stayed,Not churned,Not churned,7788.7,115.55000000000018,0.0
0014-BMAQU,Male,52,Yes,0,Napa,8,63,Offer B,Yes,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,6214.28,Stayed,Not churned,Not churned,5332.950000000001,44.849999999999454,0.0
0015-UOCOJ,Female,68,No,0,Simi Valley,0,7,Offer E,Yes,No,Yes,DSL,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,414.06,Stayed,Not churned,Not churned,337.40000000000003,2.9499999999999886,0.0
0016-QLJIS,Female,43,Yes,1,Sheridan,3,65,Unknown,Yes,Yes,Yes,Cable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,7807.8,Stayed,Not churned,Not churned,5879.25,78.64999999999964,0.0
0017-DINOC,Male,47,No,0,Rancho Santa Fe,0,54,Unknown,No,Unknown,Yes,Cable,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,2460.55,Stayed,Not churned,Not churned,2440.8,19.75,0.0
