City,Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Total Internet Services,Contract,Payment Method,Total Charges,Churn Value
Los Angeles,Male,0,0,0,2,1,0,DSL,2,Month-to-month,Mailed check,108.15,1
Los Angeles,Female,0,0,1,2,1,0,Fiber optic,0,Month-to-month,Electronic check,151.65,1
Los Angeles,Female,0,0,1,8,1,1,Fiber optic,3,Month-to-month,Electronic check,820.5,1
Los Angeles,Female,0,1,1,28,1,1,Fiber optic,4,Month-to-month,Electronic check,3046.05,1
Los Angeles,Male,0,0,1,49,1,1,Fiber optic,4,Month-to-month,Bank transfer (automatic),5036.3,1
Los Angeles,Female,0,1,0,10,1,0,DSL,2,Month-to-month,Credit card (automatic),528.35,1
Los Angeles,Male,1,0,0,1,0,0,DSL,2,Month-to-month,Electronic check,39.65,1
Los Angeles,Male,0,0,0,1,1,0,0,0,Month-to-month,Mailed check,20.15,1
Los Angeles,Male,0,1,1,47,1,1,Fiber optic,3,Month-to-month,Electronic check,4749.15,1
Los Angeles,Male,0,1,0,1,0,0,DSL,1,Month-to-month,Electronic check,30.2,1
Los Angeles,Female,0,0,0,17,1,0,DSL,2,Month-to-month,Mailed check,1093.1,1
Los Angeles,Male,0,0,1,5,1,0,Fiber optic,0,Month-to-month,Electronic check,316.9,1
Los Angeles,Male,0,0,1,34,1,1,Fiber optic,4,Month-to-month,Electronic check,3549.25,1
Los Angeles,Female,0,0,1,11,1,1,Fiber optic,3,Month-to-month,Bank transfer (automatic),1105.4,1
Los Angeles,Female,0,0,1,2,1,0,Fiber optic,1,Month-to-month,Electronic check,144.15,1
Los Angeles,Female,0,0,1,15,1,0,Fiber optic,4,Month-to-month,Credit card (automatic),1426.4,1
Los Angeles,Female,1,1,1,8,1,1,Fiber optic,1,Month-to-month,Credit card (automatic),633.3,1
Los Angeles,Male,1,0,1,18,1,1,Fiber optic,2,Month-to-month,Electronic check,1752.55,1
Beverly Hills,Female,0,0,1,9,1,1,Fiber optic,2,Month-to-month,Electronic check,857.25,1
Huntington Park,Female,0,0,1,1,1,0,Fiber optic,1,Month-to-month,Electronic check,79.35,1
Lynwood,Female,0,1,1,7,1,0,Fiber optic,1,Month-to-month,Bank transfer (automatic),496.9,1
Marina Del Rey,Female,0,0,1,12,1,1,Fiber optic,1,Month-to-month,Electronic check,927.35,1
Inglewood,Male,0,0,0,5,1,0,0,0,Month-to-month,Mailed check,113.85,1
Inglewood,Female,1,1,1,25,1,0,Fiber optic,4,Month-to-month,Electronic check,2514.5,1
Santa Monica,Male,0,1,0,68,1,1,Fiber optic,5,Two year,Bank transfer (automatic),7611.85,1
Torrance,Male,0,1,1,55,1,1,Fiber optic,3,Month-to-month,Electronic check,5238.9,1
Whittier,Female,1,1,1,37,1,1,Fiber optic,0,Month-to-month,Electronic check,2868.15,1
Whittier,Female,0,1,1,10,1,1,Fiber optic,3,Month-to-month,Electronic check,1064.65,1
La Habra,Male,0,0,1,3,1,1,Fiber optic,0,Month-to-month,Electronic check,229.55,1
Pico Rivera,Female,1,0,1,27,1,1,Fiber optic,1,Month-to-month,Electronic check,2135.5,1
Avalon,Female,0,1,0,25,0,0,DSL,5,Month-to-month,Credit card (automatic),1502.65,1
Harbor City,Male,0,0,0,1,0,0,DSL,1,Month-to-month,Electronic check,35.45,1
Lakewood,Male,0,0,0,2,1,0,DSL,0,Month-to-month,Electronic check,81.25,1
Los Alamitos,Female,1,1,1,1,1,0,Fiber optic,0,Month-to-month,Mailed check,70.45,1
San Pedro,Female,0,0,0,8,1,1,DSL,3,Month-to-month,Electronic check,563.65,1
Carson,Male,0,0,0,1,1,0,DSL,0,Month-to-month,Electronic check,45.65,1
Long Beach,Male,0,0,1,7,1,1,Fiber optic,2,Month-to-month,Mailed check,655.5,1
Altadena,Female,0,1,1,20,1,1,Fiber optic,1,Month-to-month,Electronic check,1592.35,1
Monrovia,Female,0,0,1,4,1,0,Fiber optic,0,Month-to-month,Bank transfer (automatic),273.0,1
Sierra Madre,Male,1,1,0,58,0,0,DSL,3,Month-to-month,Electronic check,2651.2,1
