Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Total_Internet_Services,Churn,Churn_status,Avg_Revenue_Per_Month,Refund_Ratio,Tenure_Group
Female,37,1,0,Frazier Park,93225,34.827662,-118.999073,2,9,Unknown,1,42.39,0,1,Cable,16.0,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0.0,0,381.51,974.81,4,0.0,0,108.31222222222222,0.0,6-12m
Male,46,0,0,Glendale,91206,34.162515,-118.203869,0,9,Unknown,1,10.69,1,1,Cable,10.0,No,No,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,-4.0,542.4,38.33,10,96.21,610.28,2,0.0,0,67.80888888888889,0.0628072360228092,6-12m
Male,50,0,0,Costa Mesa,92627,33.645672,-117.922613,0,4,Offer E,1,33.65,0,1,Fiber Optic,30.0,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,73.9,280.85,0.0,0,134.6,415.45,2,1.0,1,103.8625,0.0,0-6m
Male,78,1,0,Martinez,94553,38.014457,-122.115432,1,13,Offer D,1,27.82,0,1,Fiber Optic,4.0,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.0,1237.85,0.0,0,361.66,1599.51,5,1.0,1,123.03923076923077,0.0,1-2y
Female,75,1,0,Camarillo,93010,34.227846,-119.079903,3,3,Unknown,1,7.38,0,1,Fiber Optic,11.0,No,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,83.9,267.4,0.0,0,22.14,289.54,3,1.0,1,96.51333333333334,0.0,0-6m
Female,23,0,3,Midpines,95345,37.581496,-119.972762,0,9,Offer E,1,16.77,0,1,Cable,73.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,69.4,571.45,0.0,0,150.93,722.38,5,0.0,0,80.26444444444445,0.0,6-12m
Female,67,1,0,Lompoc,93437,34.757477,-120.550507,1,71,Offer A,1,9.96,0,1,Fiber Optic,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,109.7,7904.25,0.0,0,707.16,8611.41,8,0.0,0,121.2874647887324,0.0,4-6y
Male,52,1,0,Napa,94558,38.489789,-122.27011,8,63,Offer B,1,12.96,1,1,Fiber Optic,7.0,Yes,No,No,Yes,No,No,No,No,Two Year,Yes,Credit Card,84.65,5377.8,0.0,20,816.48,6214.28,2,0.0,0,98.63936507936508,0.0,4-6y
Female,68,0,0,Simi Valley,93063,34.296813,-118.685703,0,7,Offer E,1,10.53,0,1,DSL,21.0,Yes,No,No,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,48.2,340.35,0.0,0,73.71,414.06,2,0.0,0,59.151428571428575,0.0,6-12m
Female,43,1,1,Sheridan,95681,38.984756,-121.345074,3,65,Unknown,1,28.46,1,1,Cable,14.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,90.45,5957.9,0.0,0,1849.9,7807.8,8,0.0,0,120.12,0.0,4-6y
Male,47,0,0,Rancho Santa Fe,92091,32.99356,-117.207121,0,54,Unknown,0,0.0,0,1,Cable,10.0,Yes,No,No,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,45.2,2460.55,0.0,0,0.0,2460.55,4,0.0,0,45.56574074074074,0.0,4-6y
Female,25,1,2,Sunnyvale,94086,37.378541,-122.020456,2,72,Unknown,1,16.01,1,1,Fiber Optic,59.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,116.8,8456.75,0.0,0,1152.72,9609.47,8,0.0,0,133.4648611111111,0.0,4-6y
Female,58,1,0,Antelope,95843,38.715498,-121.363411,0,5,Unknown,1,18.65,0,1,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,68.95,351.5,0.0,0,93.25,444.75,1,0.0,0,88.95,0.0,0-6m
Female,32,0,0,La Mesa,91942,32.782501,-117.01611,0,72,Offer A,1,2.25,1,1,Fiber Optic,16.0,Yes,Yes,Yes,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,101.3,7261.25,0.0,0,162.0,7423.25,5,0.0,0,103.10069444444444,0.0,4-6y
Female,39,0,0,Los Olivos,93441,34.70434,-120.02609,0,56,Unknown,0,0.0,0,1,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,45.05,2560.1,0.0,0,0.0,2560.1,5,0.0,0,45.716071428571425,0.0,4-6y
Female,58,1,2,Woodlake,93286,36.464635,-119.094348,9,71,Offer A,1,27.26,1,1,Fiber Optic,12.0,No,Yes,Yes,No,No,Yes,Yes,Yes,Two Year,Yes,Credit Card,95.75,6849.4,0.0,0,1935.46,8784.86,5,0.0,0,123.73042253521128,0.0,4-6y
Female,52,1,1,Point Reyes Station,94956,38.060264,-122.830646,0,34,Unknown,0,0.0,0,1,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,61.25,1993.2,0.0,0,0.0,1993.2,7,0.0,0,58.62352941176471,0.0,2-4y
Female,72,0,0,San Marcos,92078,33.119028,-117.166036,0,1,Offer E,1,7.77,1,1,Fiber Optic,22.0,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,72.1,72.1,0.0,0,7.77,79.87,1,,0,79.87,0.0,0-6m
Male,79,0,0,Daly City,94015,37.680844,-122.48131,0,45,Unknown,1,10.67,0,1,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,62.7,2791.5,0.0,0,480.15,3271.65,4,1.0,1,72.70333333333333,0.0,2-4y
Male,67,0,0,Morgan Hill,95037,37.161544,-121.649371,0,1,Unknown,0,0.0,0,1,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25.1,25.1,0.0,0,0.0,25.1,1,1.0,1,25.1,0.0,0-6m
Female,79,1,0,Ahwahnee,93601,37.375816,-119.739935,0,50,Unknown,1,31.43,1,0,Unknown,0.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,One Year,No,Bank Withdrawal,25.2,1306.3,0.0,0,1571.5,2877.8,0,0.0,0,57.556000000000004,0.0,4-6y
Female,26,1,0,Carnelian Bay,96140,39.227434,-120.091806,1,13,Unknown,1,43.56,1,1,Fiber Optic,52.0,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94.1,1215.6,0.0,0,566.28,1781.88,4,1.0,1,137.0676923076923,0.0,1-2y
Female,30,1,2,Alpaugh,93201,35.869626,-119.498771,1,23,Offer D,1,34.91,1,1,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,1849.95,0.0,0,802.93,2652.88,2,0.0,0,115.34260869565217,0.0,1-2y
